Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
Apple,Apple iPhone 16,Ultramarine,Flipkart,99900,89999,9901,9,6,256,6.7,5000,12,64,A18 Chip 6 Core Processor Processor,4.6,3067,171
Samsung,Samsung Galaxy S24,Titanium Black,Flipkart,134999,89999,45000,33,12,256,6.8,5000,12,50,Snapdragon 8 Gen 3 Processor,4.6,4020,353
Infinix,Infinix GT 30,Blade White,Flipkart,31999,24999,7000,21,8,256,6.78,5500,13,50,Dimensity 8350 Ultimate Processor,4.4,931,72
Motorola,Motorola Edge 50,Caneel Bay,Flipkart,41999,27999,14000,33,12,256,6.7,4500,50,50,7 Gen 3 Mobile Platform Processor,4.4,65435,4389
OPPO,OPPO F27 Pro+,Midnight Navy,Flipkart,32999,18749,14250,43,8,128,6.7,5000,8,108,Dimensity 7050 Processor,4.4,6858,307
Samsung,Samsung Galaxy F06,Bahama Blue,Flipkart,13999,8699,5300,37,4,64,6.7,5000,8,50,Dimensity 6300 Processor,4.1,17201,1184
realme,realme P3 Ultra,Neptune Blue,Flipkart,31999,22999,9000,28,8,128,6.83,6000,16,108,Dimensity 8350 Ultra Processor,4.4,5684,699
OPPO,OPPO F27 Pro+,Midnight Navy,Flipkart,32999,18749,14250,43,8,128,6.7,5000,8,50,Dimensity 7050 Processor,4.4,6858,307
OPPO,OPPO F27 Pro+,Midnight Navy,Flipkart,32999,18749,14250,43,8,128,6.7,5000,8,50,Dimensity 7050 Processor,4.4,6858,307
OPPO,OPPO Reno14 5G,Pearl White,Flipkart,42999,37999,5000,11,8,256,6.59,6000,50,50,Dimensity 8350 Processor,4.4,1129,135
Infinix,Infinix Note 50s,Marine Drift,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,20,Dimensity 7300 Ultimate Processor,4.4,1276,86
Tecno,Tecno Pova 6,Azure Sky,Flipkart,15999,9499,6500,40,6,128,6.67,5000,8,32,Dimensity 6300 5G Processor,4.3,3544,202
Tecno,Tecno Pova 6,Azure Sky,Flipkart,15999,9499,6500,40,6,128,6.67,5000,8,50,Dimensity 6300 5G Processor,4.3,3544,202
POCO,POCO F7 5G,Frost White,Flipkart,35999,31999,4000,11,12,256,6.83,7550,20,32,8s Gen 4 Processor,4.4,5646,699
Apple,Apple iPhone 16,Desert Titanium,Flipkart,119900,107900,12000,10,6,128,6.3,6500,12,20,A18 Pro Chip 6 Core Processor Processor,4.6,2499,125
Samsung,Samsung Galaxy S24,Onyx Black,Flipkart,79999,52999,27000,33,8,256,6.2,4000,12,50,Exynos 2400 Processor,4.6,6901,390
POCO,POCO F7 5G,Phantom Black,Flipkart,37999,33999,4000,10,12,512,6.83,7550,20,50,8s Gen 4 Processor,4.4,5646,699
Samsung,Samsung Galaxy S24,Marble Gray,Flipkart,74999,46999,28000,37,8,128,6.2,4000,12,20,Exynos 2400 Processor,4.6,6901,390
Google,Google Pixel 9,Obsidian,Flipkart,79999,64999,15000,18,12,256,6.3,4700,5,50,Google Tensor G4 Processor,4.5,3198,316
Apple,Apple iPhone 13,Midnight,Flipkart,49900,44999,4901,9,16,128,6.1,4600,12,50,A15 Bionic Chip Processor,4.6,292993,13973
OnePlus,OnePlus 13R 5g,Astral Trail,Flipkart,44999,39883,5116,11,12,256,6.78,6000,32,50,A15 Bionic Chip Processor,4.5,2289,168
realme,realme P3 Ultra,Neptune Blue,Flipkart,31999,22999,9000,28,8,128,6.83,6000,16,50,Dimensity 8350 Ultra Processor,4.4,5684,699
POCO,POCO X7 Pro,Obsidian Black,Flipkart,33999,24999,9000,26,12,256,6.67,6550,20,108,Dimensity D8400 Ultra Processor,4.4,4609,577
Samsung,Samsung Galaxy M35,DayBreak Blue,Flipkart,25999,16690,9309,35,8,128,6.6,6000,16,50,A18 Chip 6 Core Processor Processor,4.3,3633,249
Apple,Apple iPhone 16,Natural Titanium,Flipkart,119900,107900,12000,10,12,128,6.3,4300,12,108,A18 Pro Chip 6 Core Processor Processor,4.6,2499,125
Samsung,Samsung Galaxy M35,DayBreak Blue,Flipkart,25999,16690,9309,35,8,128,6.6,6000,13,50,A18 Pro Chip 6 Core Processor Processor,4.3,3633,249
OnePlus,OnePlus Nord CE4,MEGA BLUE,Flipkart,20999,16838,4161,19,8,128,6.67,5500,32,50,A18 Pro Chip 6 Core Processor Processor,4.4,25654,1235
Samsung,Samsung Guru 1200,Black,Flipkart,1699,792,907,53,4,64,1.52,800,16,50,A18 Pro Chip 6 Core Processor Processor,3.1,5194,373
IQOO,IQOO Neo 10R,Raging Blue,Flipkart,31999,24195,7804,24,8,128,6.78,6400,13,50,A18 Pro Chip 6 Core Processor Processor,4.5,978,75
Samsung,Samsung Galaxy M35,DayBreak Blue,Flipkart,25999,16690,9309,35,8,128,6.6,6000,16,50,A18 Pro Chip 6 Core Processor Processor,4.3,3633,249
OPPO,OPPO Reno14 5G,Forest Green,Flipkart,42999,37999,5000,11,8,256,6.59,6000,12,50,Dimensity 8350 Processor,4.4,1129,135
REDMI,REDMI 13 5G,Black Diamond,Flipkart,19999,13059,6940,34,8,128,6.79,5030,20,108,Dimensity 8350 Processor,4.3,10383,593
REDMI,REDMI A4 5G,Starry Black,Flipkart,10999,8630,2369,21,4,64,6.88,5160,12,50,Dimensity 8350 Processor,4.3,7020,337
